品种代码,品种名称,纳入日期
300100,双林股份,2025-12-15
300255,常山药业,2025-12-15
300432,富临精工,2025-12-15
300548,长芯博创,2025-12-15
300718,长盛轴承,2025-12-15
300972,万辰集团,2025-12-15
301200,大族数控,2025-12-15
301611,珂玛科技,2025-12-15
300058,蓝色光标,2025-06-16
300115,长盈精密,2025-06-16
300458,全志科技,2025-06-16
300679,电连技术,2025-06-16
300857,协创数据,2025-06-16
301165,锐捷网络,2025-06-16
301498,乖宝宠物,2025-06-16
301536,星宸科技,2025-06-16
302132,中航成飞,2025-02-17
300024,机器人,2024-12-16
300339,润和软件,2024-12-16
300346,南大光电,2024-12-16
300627,华测导航,2024-12-16
300677,英科医疗,2024-12-16
300735,光弘科技,2024-12-16
300002,神州泰岳,2024-06-17
300017,网宿科技,2024-06-17
300442,润泽科技,2024-06-17
300476,胜宏科技,2024-06-17
300765,新诺威,2024-06-17
301301,川宁生物,2024-06-17
300394,天孚通信,2023-12-11
300502,新易盛,2023-12-11
300567,精测电子,2023-12-11
301358,湖南裕能,2023-12-11
300666,江丰电子,2023-06-12
300803,指南针,2023-06-12
301236,软通动力,2023-06-12
301269,华大九天,2023-06-12
301308,江波龙,2023-06-12
300054,鼎龙股份,2022-12-12
300395,菲利华,2022-12-12
300487,蓝晓科技,2022-12-12
300604,长川科技,2022-06-13
300373,扬杰科技,2021-12-13
300919,中伟股份,2021-12-13
300957,贝泰妮,2021-12-13
300979,华利集团,2021-12-13
300763,锦浪科技,2021-06-15
300751,迈为股份,2021-06-15
300866,安克创新,2021-06-15
300896,爱美客,2021-06-15
300888,稳健医疗,2021-06-15
300832,新产业,2021-06-15
300037,新宙邦,2020-12-14
300999,金龙鱼,2020-12-14
300223,北京君正,2020-06-15
300782,卓胜微,2020-06-15
300661,圣邦股份,2019-12-16
300759,康龙化成,2019-12-16
300724,捷佳伟创,2019-06-17
300748,金力永磁,2019-06-17
300012,华测检测,2019-01-02
300454,深信服,2019-01-02
300529,健帆生物,2019-01-02
300760,迈瑞医疗,2019-01-02
300750,宁德时代,2018-10-08
300601,康泰生物,2018-07-02
300285,国瓷材料,2018-04-02
300308,中际旭创,2018-04-02
300413,快乐购,2018-04-02
300474,景嘉微,2018-04-02
300699,光威复材,2018-04-02
300628,亿联网络,2018-01-02
300676,华大基因,2018-01-02
300316,晶盛机电,2017-10-09
300558,贝达药业,2017-07-03
300450,先导智能,2017-04-05
300073,当升科技,2016-10-10
300014,亿纬锂能,2016-07-01
300496,中科创达,2016-07-01
300383,光环新网,2016-04-01
300418,昆仑万维,2016-04-01
300498,温氏股份,2015-11-23
300136,信维通信,2015-10-08
300408,三环集团,2015-07-01
300433,蓝思科技,2015-07-01
300033,同花顺,2015-04-01
300253,卫宁软件,2014-01-02
300207,欣旺达,2013-10-08
300347,泰格医药,2013-10-08
300251,光线传媒,2012-04-05
300274,阳光电源,2012-04-05
300144,宋城股份,2011-07-01
300146,汤臣倍健,2011-07-01
300122,智飞生物,2011-04-01
300124,汇川技术,2011-04-01
300142,沃森生物,2011-04-01
300001,特锐德,2010-06-01
300003,乐普医疗,2010-06-01
300015,爱尔眼科,2010-06-01
300059,东方财富,2010-06-01
